Feature ID	Taxon	Confidence
ESV_2143.1541	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales;  f__Pseudomonadaceae;  g__Pseudomonas;  s__Pseudomonas_chlororaphis	0.7540066486770249
ESV_2159.1522	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	0.9033309759622601
ESV_2190.1554	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae	0.9992133872237947
ESV_2208.1464	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Propionibacteriales;  f__Propionibacteriaceae;  g__Propionibacterium;  s__Propionibacterium_freudenreichii	0.999999885073357
ESV_2272.1548	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Bacillus;  s__Bacillus_paralicheniformis	0.9166809801586843
ESV_2286.1547	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales;  f__Pseudomonadaceae;  g__Pseudomonas	0.9999981228061736
ESV_2293.1401	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhizobiales;  f__Beijerinckiaceae;  g__Methylocystis; s__	0.9974331971992592
ESV_2328.1550	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Klebsiella; s__	0.9711517489447171
ESV_2331.1556	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	0.966639835629208
ESV_2341.1504	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micromonosporales;  f__Micromonosporaceae	0.9999999589425786
ESV_2350.1549	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Enterococcaceae;  g__Enterococcus; s__	0.9973271180441908
ESV_2359.1536	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Corynebacteriaceae;  g__Corynebacterium;  s__Corynebacterium_glutamicum	0.9999871386936549
ESV_2375.1541	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	0.9593356389199436
ESV_2445.1495	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Sphingomonadales;  f__Sphingomonadaceae;  g__Sphingomonas;  s__Sphingomonas_panacis	0.827448031929846
ESV_2449.1550	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Lactococcus;  s__Lactococcus_lactis	0.9895913190440145
ESV_2474.1440	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhizobiales;  f__Rhizobiaceae;  g__Ochrobactrum; s__	0.9979743529568548
ESV_2494.1478	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Acetobacterales;  f__Acetobacteraceae;  g__Acetobacter; s__	0.9919268079931397
ESV_2516.1517	k__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridiales;  f__Clostridiaceae;  g__Clostridium_sensu_stricto_18; s__	0.9999751965377498
ESV_2543.1538	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Bacillus;  s__Bacillus_anthracis	0.9813029098540917
ESV_2587.1538	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Salmonella; s__	0.8776785960040743
ESV_2602.1534	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Salmonella; s__	0.8998574410873791
ESV_2603.1546	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Erwiniaceae;  g__Pantoea;  s__Mixta_theicola	0.9998905991254884
ESV_2628.1551	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Yersiniaceae;  g__Serratia; s__	0.9861148973573794
ESV_2630.1497	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Lactobacillaceae;  g__Lactobacillus;  s__Lactobacillus_rhamnosus	0.8484984790877009
ESV_2641.1540	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Alteromonadales;  f__Moritellaceae;  g__Moritella; s__	0.8843884914066572
ESV_2687.1538	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Burkholderiaceae;  g__Cupriavidus; s__	0.9978984684202505
ESV_2754.1458	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Comamonadaceae;  g__Delftia	0.9999919955064941
ESV_2784.1547	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales;  f__Pseudomonadaceae;  g__Pseudomonas	0.9999960663363557
ESV_2825.1559	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Listeriaceae;  g__Listeria; s__	0.9999999915934836
ESV_2836.1500	k__Bacteria;  p__Firmicutes;  c__Thermoanaerobacteria;  o__Thermoanaerobacterales;  f__Family_III;  g__Thermoanaerobacterium; s__	0.9090333767304241
ESV_2844.1410	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhizobiales;  f__Xanthobacteraceae;  g__Xanthobacter; s__	0.999414461287294
ESV_2848.1535	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Bifidobacteriales;  f__Bifidobacteriaceae;  g__Bifidobacterium;  s__Bifidobacterium_asteroides	0.9947188089248172
ESV_2849.1556	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Bacillus;  s__Bacillus_anthracis	0.9576623517144208
ESV_2882.1522	k__Bacteria;  p__Deinococcota;  c__Deinococci;  o__Thermales;  f__Thermaceae;  g__Thermus;  s__Thermus_thermophilus	0.9999979466778988
ESV_2884.1553	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Staphylococcales;  f__Staphylococcaceae;  g__Staphylococcus; s__	0.9930896267101609
ESV_2906.1554	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Salmonella; s__	0.8666934044626244
ESV_2919.1483	k__Bacteria;  p__Campilobacterota;  c__Campylobacteria;  o__Campylobacterales;  f__Helicobacteraceae;  g__Helicobacter;  s__Helicobacter_acinonychis	0.9999494767543324
ESV_2931.1476	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Rhodocyclaceae;  g__Thauera; s__	0.9461046820700519
